customer_city,customer_state,risk_segment,churn_probability,total_spent,average_review_score,average_delivery_delay,recommendation,reason,priority,owner,timeline,estimated_cost,expected_outcome
cuiaba,MT,High Risk,0.77405626,151.79,4.0,-16.0,VIP Retention Offer + Exclusive Discount,High-value customer at churn risk,Critical,Retention Team,Within 48 Hours,300,Protect customer lifetime value
sao paulo,SP,Low Risk,0.17924544,35.36,5.0,-7.0,Regular Promotional Campaign,Low churn probability,Low,Marketing Team,Monthly,10,Maintain customer engagement
piracicaba,SP,High Risk,0.89170295,236.48,5.0,-12.0,VIP Retention Offer + Exclusive Discount,High-value customer at churn risk,Critical,Retention Team,Within 48 Hours,300,Protect customer lifetime value
sao paulo,SP,High Risk,0.83029044,236.96,5.0,-9.0,VIP Retention Offer + Exclusive Discount,High-value customer at churn risk,Critical,Retention Team,Within 48 Hours,300,Protect customer lifetime value
rio de janeiro,RJ,Medium Risk,0.53770727,196.14,3.0,-24.0,Customer Satisfaction Survey,Average review score,Medium,Customer Experience Team,Within 7 Days,20,Identify customer pain points
caruaru,PE,Medium Risk,0.6477044,428.58,5.0,-19.0,Email Engagement Campaign,Moderate churn probability,Medium,Digital Marketing Team,Within 7 Days,10,Increase engagement
brasilia,DF,High Risk,0.85214627,104.38,1.0,-7.0,Immediate Customer Support & Complaint Resolution,Very low review score,Critical,Customer Success Team,Within 24 Hours,50,Improve customer satisfaction
cotia,SP,Medium Risk,0.5158467,50.87,5.0,-8.0,Email Engagement Campaign,Moderate churn probability,Medium,Digital Marketing Team,Within 7 Days,10,Increase engagement
recife,PE,High Risk,0.9301574,610.8,4.0,-4.0,VIP Retention Offer + Exclusive Discount,High-value customer at churn risk,Critical,Retention Team,Within 48 Hours,300,Protect customer lifetime value
brasilia,DF,Low Risk,0.20391326,207.42,5.0,-8.0,Premium Loyalty Membership,High-value loyal customer,Low,Loyalty Team,Monthly,150,Maintain long-term loyalty
jundiai,SP,Medium Risk,0.51578826,174.97,5.0,-8.0,Email Engagement Campaign,Moderate churn probability,Medium,Digital Marketing Team,Within 7 Days,10,Increase engagement
sao paulo,SP,High Risk,0.8200879,133.18,5.0,-13.0,VIP Retention Offer + Exclusive Discount,High-value customer at churn risk,Critical,Retention Team,Within 48 Hours,300,Protect customer lifetime value
nova odessa,SP,Medium Risk,0.6672122,56.03,5.0,-28.0,Email Engagement Campaign,Moderate churn probability,Medium,Digital Marketing Team,Within 7 Days,10,Increase engagement
rio de janeiro,RJ,High Risk,0.91868055,249.39,5.0,-7.0,VIP Retention Offer + Exclusive Discount,High-value customer at churn risk,Critical,Retention Team,Within 48 Hours,300,Protect customer lifetime value
januaria,MG,High Risk,0.91927505,197.8,3.0,-1.0,VIP Retention Offer + Exclusive Discount,High-value customer at churn risk,Critical,Retention Team,Within 48 Hours,300,Protect customer lifetime value
campinas,SP,High Risk,0.7542894,31.77,4.0,-6.0,Reactivation Campaign + Repeat Purchase Coupon,Customer has only one order,High,Marketing Team,Within 3 Days,80,Encourage second purchase
mambore,PR,Medium Risk,0.6318107,94.19,5.0,-13.0,Email Engagement Campaign,Moderate churn probability,Medium,Digital Marketing Team,Within 7 Days,10,Increase engagement
santo andre,SP,Medium Risk,0.5931289,155.23,5.0,-22.0,Email Engagement Campaign,Moderate churn probability,Medium,Digital Marketing Team,Within 7 Days,10,Increase engagement
rio de janeiro,RJ,Medium Risk,0.45808524,72.88,4.0,-29.0,Email Engagement Campaign,Moderate churn probability,Medium,Digital Marketing Team,Within 7 Days,10,Increase engagement
sapucaia do sul,RS,Low Risk,0.21690057,205.31,5.0,-6.0,Premium Loyalty Membership,High-value loyal customer,Low,Loyalty Team,Monthly,150,Maintain long-term loyalty
rio de janeiro,RJ,High Risk,0.8867169,117.04,1.0,-12.0,Immediate Customer Support & Complaint Resolution,Very low review score,Critical,Customer Success Team,Within 24 Hours,50,Improve customer satisfaction
sao paulo,SP,Medium Risk,0.4054548,91.77,4.0,-7.0,Email Engagement Campaign,Moderate churn probability,Medium,Digital Marketing Team,Within 7 Days,10,Increase engagement
sao luis,MA,High Risk,0.76348245,80.33,5.0,-3.0,Reactivation Campaign + Repeat Purchase Coupon,Customer has only one order,High,Marketing Team,Within 3 Days,80,Encourage second purchase
joinville,SC,High Risk,0.75955534,146.27,5.0,-16.0,VIP Retention Offer + Exclusive Discount,High-value customer at churn risk,Critical,Retention Team,Within 48 Hours,300,Protect customer lifetime value
blumenau,SC,Medium Risk,0.66476816,259.82,5.0,-17.0,Email Engagement Campaign,Moderate churn probability,Medium,Digital Marketing Team,Within 7 Days,10,Increase engagement
pelotas,RS,High Risk,0.9327518,67.5,1.0,14.0,Immediate Customer Support & Complaint Resolution,Very low review score,Critical,Customer Success Team,Within 24 Hours,50,Improve customer satisfaction
belo horizonte,MG,High Risk,0.81015277,234.07,4.5,-16.5,VIP Retention Offer + Exclusive Discount,High-value customer at churn risk,Critical,Retention Team,Within 48 Hours,300,Protect customer lifetime value
salvador,BA,High Risk,0.8767273,79.56,5.0,-1.0,Reactivation Campaign + Repeat Purchase Coupon,Customer has only one order,High,Marketing Team,Within 3 Days,80,Encourage second purchase
barueri,SP,High Risk,0.7366662,78.5,5.0,-13.0,Reactivation Campaign + Repeat Purchase Coupon,Customer has only one order,High,Marketing Team,Within 3 Days,80,Encourage second purchase
sao bernardo do campo,SP,High Risk,0.9103617,76.04,5.0,-14.0,Reactivation Campaign + Repeat Purchase Coupon,Customer has only one order,High,Marketing Team,Within 3 Days,80,Encourage second purchase
indaiatuba,SP,Medium Risk,0.6893061,26.18,5.0,-9.0,Email Engagement Campaign,Moderate churn probability,Medium,Digital Marketing Team,Within 7 Days,10,Increase engagement
porto alegre,RS,Medium Risk,0.49957442,220.59,2.5,-13.0,Customer Satisfaction Survey,Average review score,Medium,Customer Experience Team,Within 7 Days,20,Identify customer pain points
macae,RJ,High Risk,0.8762797,54.0,4.0,-9.0,Reactivation Campaign + Repeat Purchase Coupon,Customer has only one order,High,Marketing Team,Within 3 Days,80,Encourage second purchase
barra do garcas,MT,High Risk,0.8209403,61.78,5.0,-14.0,Reactivation Campaign + Repeat Purchase Coupon,Customer has only one order,High,Marketing Team,Within 3 Days,80,Encourage second purchase
sao paulo,SP,High Risk,0.7719822,57.77,5.0,-11.0,Reactivation Campaign + Repeat Purchase Coupon,Customer has only one order,High,Marketing Team,Within 3 Days,80,Encourage second purchase
rio de janeiro,RJ,High Risk,0.9175077,1046.56,5.0,-11.0,VIP Retention Offer + Exclusive Discount,High-value customer at churn risk,Critical,Retention Team,Within 48 Hours,300,Protect customer lifetime value
serra,ES,High Risk,0.92049164,75.16,2.0,1.0,Immediate Customer Support & Complaint Resolution,Very low review score,Critical,Customer Success Team,Within 24 Hours,50,Improve customer satisfaction
sao paulo,SP,Medium Risk,0.67922735,136.08,5.0,-12.0,Email Engagement Campaign,Moderate churn probability,Medium,Digital Marketing Team,Within 7 Days,10,Increase engagement
sao paulo,SP,Low Risk,0.13921782,51.54,5.0,-4.0,Regular Promotional Campaign,Low churn probability,Low,Marketing Team,Monthly,10,Maintain customer engagement
jundiai,SP,Medium Risk,0.53437436,58.78,5.0,-7.0,Email Engagement Campaign,Moderate churn probability,Medium,Digital Marketing Team,Within 7 Days,10,Increase engagement
ilhabela,SP,High Risk,0.8609884,219.63,5.0,-22.0,VIP Retention Offer + Exclusive Discount,High-value customer at churn risk,Critical,Retention Team,Within 48 Hours,300,Protect customer lifetime value
belem,PA,High Risk,0.7706252,56.63,5.0,-18.0,Reactivation Campaign + Repeat Purchase Coupon,Customer has only one order,High,Marketing Team,Within 3 Days,80,Encourage second purchase
sao paulo,SP,High Risk,0.88900864,508.77,4.0,-14.0,VIP Retention Offer + Exclusive Discount,High-value customer at churn risk,Critical,Retention Team,Within 48 Hours,300,Protect customer lifetime value
sao paulo,SP,High Risk,0.9222631,70.03,5.0,-17.0,Reactivation Campaign + Repeat Purchase Coupon,Customer has only one order,High,Marketing Team,Within 3 Days,80,Encourage second purchase
sao paulo,SP,High Risk,0.77001756,466.84,3.0,-1.0,VIP Retention Offer + Exclusive Discount,High-value customer at churn risk,Critical,Retention Team,Within 48 Hours,300,Protect customer lifetime value
botucatu,SP,High Risk,0.7470128,142.41,5.0,-9.0,VIP Retention Offer + Exclusive Discount,High-value customer at churn risk,Critical,Retention Team,Within 48 Hours,300,Protect customer lifetime value
sao paulo,SP,Medium Risk,0.55947703,481.25,5.0,-12.0,Loyalty Rewards & Cross-Sell Campaign,Existing repeat customer,Medium,Marketing Team,Within 7 Days,40,Increase customer lifetime value
palhoca,SC,High Risk,0.8364435,45.1,5.0,-13.0,Reactivation Campaign + Repeat Purchase Coupon,Customer has only one order,High,Marketing Team,Within 3 Days,80,Encourage second purchase
rio grande,RS,High Risk,0.7268109,57.23,5.0,-19.0,Reactivation Campaign + Repeat Purchase Coupon,Customer has only one order,High,Marketing Team,Within 3 Days,80,Encourage second purchase
pocos de caldas,MG,High Risk,0.8662628,299.6,1.0,13.0,Immediate Customer Support & Complaint Resolution,Very low review score,Critical,Customer Success Team,Within 24 Hours,50,Improve customer satisfaction
sao paulo,SP,High Risk,0.7341041,67.68,5.0,-15.0,Reactivation Campaign + Repeat Purchase Coupon,Customer has only one order,High,Marketing Team,Within 3 Days,80,Encourage second purchase
ribeirao pires,SP,High Risk,0.8284778,92.69,3.0,-14.0,Reactivation Campaign + Repeat Purchase Coupon,Customer has only one order,High,Marketing Team,Within 3 Days,80,Encourage second purchase
curitiba,PR,Medium Risk,0.69992256,359.19,5.0,-16.0,Email Engagement Campaign,Moderate churn probability,Medium,Digital Marketing Team,Within 7 Days,10,Increase engagement
sao vicente,SP,High Risk,0.8358196,161.02,3.0,-19.0,VIP Retention Offer + Exclusive Discount,High-value customer at churn risk,Critical,Retention Team,Within 48 Hours,300,Protect customer lifetime value
brasilia,DF,High Risk,0.8377598,157.35,1.0,3.0,Immediate Customer Support & Complaint Resolution,Very low review score,Critical,Customer Success Team,Within 24 Hours,50,Improve customer satisfaction
sao paulo,SP,High Risk,0.7452415,70.02,5.0,-13.0,Reactivation Campaign + Repeat Purchase Coupon,Customer has only one order,High,Marketing Team,Within 3 Days,80,Encourage second purchase
sao paulo,SP,High Risk,0.7547166,88.08,4.0,-10.0,Reactivation Campaign + Repeat Purchase Coupon,Customer has only one order,High,Marketing Team,Within 3 Days,80,Encourage second purchase
aracatuba,SP,High Risk,0.8236048,36.84,5.0,-18.0,Reactivation Campaign + Repeat Purchase Coupon,Customer has only one order,High,Marketing Team,Within 3 Days,80,Encourage second purchase
niteroi,RJ,High Risk,0.9037116,154.83,4.0,18.0,Service Recovery + Compensation Offer,Significant delivery delay,Critical,Logistics Team,Within 24 Hours,100,Recover customer trust
sao paulo,SP,Medium Risk,0.6541061,37.61,5.0,-10.0,Email Engagement Campaign,Moderate churn probability,Medium,Digital Marketing Team,Within 7 Days,10,Increase engagement
salto,SP,High Risk,0.7852077,126.54,4.0,-13.0,VIP Retention Offer + Exclusive Discount,High-value customer at churn risk,Critical,Retention Team,Within 48 Hours,300,Protect customer lifetime value
sao paulo,SP,High Risk,0.7797066,38.94,5.0,-11.0,Reactivation Campaign + Repeat Purchase Coupon,Customer has only one order,High,Marketing Team,Within 3 Days,80,Encourage second purchase
atibaia,SP,High Risk,0.8287379,195.69,5.0,-6.0,VIP Retention Offer + Exclusive Discount,High-value customer at churn risk,Critical,Retention Team,Within 48 Hours,300,Protect customer lifetime value
sao paulo,SP,High Risk,0.7428377,211.11,3.0,-11.0,VIP Retention Offer + Exclusive Discount,High-value customer at churn risk,Critical,Retention Team,Within 48 Hours,300,Protect customer lifetime value
santo antonio do jacinto,MG,High Risk,0.86608326,36.69,3.0,-14.0,Reactivation Campaign + Repeat Purchase Coupon,Customer has only one order,High,Marketing Team,Within 3 Days,80,Encourage second purchase
sao paulo,SP,High Risk,0.81317,88.0,5.0,-16.0,Reactivation Campaign + Repeat Purchase Coupon,Customer has only one order,High,Marketing Team,Within 3 Days,80,Encourage second purchase
sao paulo,SP,Medium Risk,0.5150253,183.67,5.0,-31.0,Email Engagement Campaign,Moderate churn probability,Medium,Digital Marketing Team,Within 7 Days,10,Increase engagement
recife,PE,High Risk,0.9022238,76.51,5.0,-51.0,Reactivation Campaign + Repeat Purchase Coupon,Customer has only one order,High,Marketing Team,Within 3 Days,80,Encourage second purchase
sao goncalo,RJ,High Risk,0.9162968,130.46,1.0,8.0,Immediate Customer Support & Complaint Resolution,Very low review score,Critical,Customer Success Team,Within 24 Hours,50,Improve customer satisfaction
sao paulo,SP,High Risk,0.8408207,603.3,3.0,-14.0,VIP Retention Offer + Exclusive Discount,High-value customer at churn risk,Critical,Retention Team,Within 48 Hours,300,Protect customer lifetime value
sao goncalo,RJ,Medium Risk,0.56566465,86.73,5.0,-23.0,Email Engagement Campaign,Moderate churn probability,Medium,Digital Marketing Team,Within 7 Days,10,Increase engagement
barra mansa,RJ,High Risk,0.7196794,199.27,2.0,-18.0,Immediate Customer Support & Complaint Resolution,Very low review score,Critical,Customer Success Team,Within 24 Hours,50,Improve customer satisfaction
sao jose dos campos,SP,Medium Risk,0.5835239,176.16,3.0,-7.0,Customer Satisfaction Survey,Average review score,Medium,Customer Experience Team,Within 7 Days,20,Identify customer pain points
curitiba,PR,High Risk,0.92230374,662.34,1.0,3.0,Immediate Customer Support & Complaint Resolution,Very low review score,Critical,Customer Success Team,Within 24 Hours,50,Improve customer satisfaction
irape,SP,Medium Risk,0.6237073,429.3,3.5,-7.5,Customer Satisfaction Survey,Average review score,Medium,Customer Experience Team,Within 7 Days,20,Identify customer pain points
muriae,MG,High Risk,0.8980706,215.56,5.0,-14.0,VIP Retention Offer + Exclusive Discount,High-value customer at churn risk,Critical,Retention Team,Within 48 Hours,300,Protect customer lifetime value
sao paulo,SP,Medium Risk,0.69440156,58.16,5.0,-12.0,Email Engagement Campaign,Moderate churn probability,Medium,Digital Marketing Team,Within 7 Days,10,Increase engagement
sorocaba,SP,Medium Risk,0.68898946,197.87,5.0,-9.0,Email Engagement Campaign,Moderate churn probability,Medium,Digital Marketing Team,Within 7 Days,10,Increase engagement
itapevi,SP,High Risk,0.75682914,61.8,5.0,-11.0,Reactivation Campaign + Repeat Purchase Coupon,Customer has only one order,High,Marketing Team,Within 3 Days,80,Encourage second purchase
itajuba,MG,High Risk,0.8339609,567.0,3.0,-16.0,VIP Retention Offer + Exclusive Discount,High-value customer at churn risk,Critical,Retention Team,Within 48 Hours,300,Protect customer lifetime value
sao paulo,SP,High Risk,0.9268941,192.14,1.0,19.0,Immediate Customer Support & Complaint Resolution,Very low review score,Critical,Customer Success Team,Within 24 Hours,50,Improve customer satisfaction
vargem grande paulista,SP,Medium Risk,0.5363721,29.17,2.0,-2.0,Customer Satisfaction Survey,Average review score,Medium,Customer Experience Team,Within 7 Days,20,Identify customer pain points
goiania,GO,High Risk,0.8487461,47.23,5.0,-13.0,Reactivation Campaign + Repeat Purchase Coupon,Customer has only one order,High,Marketing Team,Within 3 Days,80,Encourage second purchase
juiz de fora,MG,High Risk,0.7751146,25.96,5.0,-12.0,Reactivation Campaign + Repeat Purchase Coupon,Customer has only one order,High,Marketing Team,Within 3 Days,80,Encourage second purchase
sao paulo,SP,High Risk,0.77186537,24.75,5.0,-4.0,Reactivation Campaign + Repeat Purchase Coupon,Customer has only one order,High,Marketing Team,Within 3 Days,80,Encourage second purchase
araguana,MA,High Risk,0.8461482,224.07,5.0,-11.0,VIP Retention Offer + Exclusive Discount,High-value customer at churn risk,Critical,Retention Team,Within 48 Hours,300,Protect customer lifetime value
pelotas,RS,High Risk,0.9162014,70.62,5.0,-14.0,Reactivation Campaign + Repeat Purchase Coupon,Customer has only one order,High,Marketing Team,Within 3 Days,80,Encourage second purchase
osvaldo cruz,SP,High Risk,0.84179807,431.05,3.0,-13.0,VIP Retention Offer + Exclusive Discount,High-value customer at churn risk,Critical,Retention Team,Within 48 Hours,300,Protect customer lifetime value
mogi mirim,SP,Low Risk,0.3637094,38.86,4.0,-2.0,Regular Promotional Campaign,Low churn probability,Low,Marketing Team,Monthly,10,Maintain customer engagement
juiz de fora,MG,High Risk,0.92632097,139.98,5.0,-5.0,VIP Retention Offer + Exclusive Discount,High-value customer at churn risk,Critical,Retention Team,Within 48 Hours,300,Protect customer lifetime value
tapejara,RS,Low Risk,0.2927836,299.76,5.0,-11.0,Premium Loyalty Membership,High-value loyal customer,Low,Loyalty Team,Monthly,150,Maintain long-term loyalty
xinguara,PA,High Risk,0.90030307,119.26,3.0,-19.0,VIP Retention Offer + Exclusive Discount,High-value customer at churn risk,Critical,Retention Team,Within 48 Hours,300,Protect customer lifetime value
campinas,SP,High Risk,0.83694965,31.75,5.0,-12.0,Reactivation Campaign + Repeat Purchase Coupon,Customer has only one order,High,Marketing Team,Within 3 Days,80,Encourage second purchase
itauna,MG,High Risk,0.8307588,1038.36,1.0,-19.0,Immediate Customer Support & Complaint Resolution,Very low review score,Critical,Customer Success Team,Within 24 Hours,50,Improve customer satisfaction
garopaba,SC,Medium Risk,0.6854544,1195.23,4.0,-10.75,Loyalty Rewards & Cross-Sell Campaign,Existing repeat customer,Medium,Marketing Team,Within 7 Days,40,Increase customer lifetime value
sao paulo,SP,Medium Risk,0.64002067,97.87,4.0,-9.0,Email Engagement Campaign,Moderate churn probability,Medium,Digital Marketing Team,Within 7 Days,10,Increase engagement
franca,SP,Medium Risk,0.5820551,53.27,4.0,-24.0,Email Engagement Campaign,Moderate churn probability,Medium,Digital Marketing Team,Within 7 Days,10,Increase engagement
perdigao,MG,High Risk,0.7424383,65.11,2.0,-18.0,Immediate Customer Support & Complaint Resolution,Very low review score,Critical,Customer Success Team,Within 24 Hours,50,Improve customer satisfaction
bauru,SP,High Risk,0.764749,35.86,4.0,-17.0,Reactivation Campaign + Repeat Purchase Coupon,Customer has only one order,High,Marketing Team,Within 3 Days,80,Encourage second purchase
piracicaba,SP,High Risk,0.80137074,416.54,4.0,-1.0,VIP Retention Offer + Exclusive Discount,High-value customer at churn risk,Critical,Retention Team,Within 48 Hours,300,Protect customer lifetime value
araraquara,SP,Medium Risk,0.6529314,57.98,5.0,-21.0,Email Engagement Campaign,Moderate churn probability,Medium,Digital Marketing Team,Within 7 Days,10,Increase engagement
brasilia,DF,Medium Risk,0.4728238,103.12,4.0,-13.0,Email Engagement Campaign,Moderate churn probability,Medium,Digital Marketing Team,Within 7 Days,10,Increase engagement
sao paulo,SP,Low Risk,0.20559981,111.93,1.0,0.0,Premium Loyalty Membership,High-value loyal customer,Low,Loyalty Team,Monthly,150,Maintain long-term loyalty
ribeirao pires,SP,Medium Risk,0.6614087,33.71,5.0,-15.0,Email Engagement Campaign,Moderate churn probability,Medium,Digital Marketing Team,Within 7 Days,10,Increase engagement
sapucaia,RJ,High Risk,0.73979837,70.46,5.0,-12.0,Reactivation Campaign + Repeat Purchase Coupon,Customer has only one order,High,Marketing Team,Within 3 Days,80,Encourage second purchase
uberaba,MG,Medium Risk,0.6211016,62.01,3.0,-19.0,Customer Satisfaction Survey,Average review score,Medium,Customer Experience Team,Within 7 Days,20,Identify customer pain points
sao paulo,SP,High Risk,0.86991864,64.65,5.0,-11.0,Reactivation Campaign + Repeat Purchase Coupon,Customer has only one order,High,Marketing Team,Within 3 Days,80,Encourage second purchase
santa cruz do capibaribe,PE,Medium Risk,0.6104819,1418.86,1.0,-25.0,Customer Satisfaction Survey,Average review score,Medium,Customer Experience Team,Within 7 Days,20,Identify customer pain points
carapicuiba,SP,High Risk,0.7019411,78.42,5.0,-17.0,Reactivation Campaign + Repeat Purchase Coupon,Customer has only one order,High,Marketing Team,Within 3 Days,80,Encourage second purchase
belo horizonte,MG,High Risk,0.8947963,85.24,4.0,-15.0,Reactivation Campaign + Repeat Purchase Coupon,Customer has only one order,High,Marketing Team,Within 3 Days,80,Encourage second purchase
nova andradina,MS,High Risk,0.9096465,266.96,1.0,6.0,Immediate Customer Support & Complaint Resolution,Very low review score,Critical,Customer Success Team,Within 24 Hours,50,Improve customer satisfaction
leopoldina,MG,Medium Risk,0.6157443,217.54,5.0,-14.0,Email Engagement Campaign,Moderate churn probability,Medium,Digital Marketing Team,Within 7 Days,10,Increase engagement
sao paulo,SP,Medium Risk,0.549569,69.29,5.0,-9.0,Email Engagement Campaign,Moderate churn probability,Medium,Digital Marketing Team,Within 7 Days,10,Increase engagement
santos dumont,MG,High Risk,0.90816957,40.32,5.0,-1.0,Reactivation Campaign + Repeat Purchase Coupon,Customer has only one order,High,Marketing Team,Within 3 Days,80,Encourage second purchase
sao paulo,SP,Medium Risk,0.677304,62.68,1.0,-8.0,Customer Satisfaction Survey,Average review score,Medium,Customer Experience Team,Within 7 Days,20,Identify customer pain points
sao paulo,SP,Low Risk,0.14556679,43.87,5.0,-1.0,Regular Promotional Campaign,Low churn probability,Low,Marketing Team,Monthly,10,Maintain customer engagement
presidente prudente,SP,High Risk,0.76587105,103.55,5.0,-10.0,Reactivation Campaign + Repeat Purchase Coupon,Customer has only one order,High,Marketing Team,Within 3 Days,80,Encourage second purchase
sao paulo,SP,High Risk,0.77957696,105.7,1.0,-16.0,Immediate Customer Support & Complaint Resolution,Very low review score,Critical,Customer Success Team,Within 24 Hours,50,Improve customer satisfaction
jundiai,SP,High Risk,0.72047246,105.87,5.0,-10.0,Reactivation Campaign + Repeat Purchase Coupon,Customer has only one order,High,Marketing Team,Within 3 Days,80,Encourage second purchase
quixelo,CE,High Risk,0.7743567,62.08,5.0,-15.0,Reactivation Campaign + Repeat Purchase Coupon,Customer has only one order,High,Marketing Team,Within 3 Days,80,Encourage second purchase
sao paulo,SP,High Risk,0.90243316,36.35,4.0,-16.0,Reactivation Campaign + Repeat Purchase Coupon,Customer has only one order,High,Marketing Team,Within 3 Days,80,Encourage second purchase
acari,RN,Medium Risk,0.5200398,412.43,5.0,-40.0,Email Engagement Campaign,Moderate churn probability,Medium,Digital Marketing Team,Within 7 Days,10,Increase engagement
sorocaba,SP,High Risk,0.9065391,289.98,5.0,-11.0,VIP Retention Offer + Exclusive Discount,High-value customer at churn risk,Critical,Retention Team,Within 48 Hours,300,Protect customer lifetime value
birigui,SP,Medium Risk,0.6630512,364.1,5.0,-13.0,Email Engagement Campaign,Moderate churn probability,Medium,Digital Marketing Team,Within 7 Days,10,Increase engagement
brasilia,DF,Medium Risk,0.583619,772.5,3.0,-25.0,Customer Satisfaction Survey,Average review score,Medium,Customer Experience Team,Within 7 Days,20,Identify customer pain points
rio de janeiro,RJ,High Risk,0.8886114,38.89,4.0,-16.0,Reactivation Campaign + Repeat Purchase Coupon,Customer has only one order,High,Marketing Team,Within 3 Days,80,Encourage second purchase
paraibuna,SP,Medium Risk,0.54072475,119.32,4.0,-5.0,Email Engagement Campaign,Moderate churn probability,Medium,Digital Marketing Team,Within 7 Days,10,Increase engagement
paraguacu paulista,SP,Medium Risk,0.68576866,706.8399999999999,5.0,-13.0,Email Engagement Campaign,Moderate churn probability,Medium,Digital Marketing Team,Within 7 Days,10,Increase engagement
sao paulo,SP,High Risk,0.8512883,174.04,2.0,-10.0,Immediate Customer Support & Complaint Resolution,Very low review score,Critical,Customer Success Team,Within 24 Hours,50,Improve customer satisfaction
teresina,PI,Medium Risk,0.5607683,591.88,3.0,-27.0,Customer Satisfaction Survey,Average review score,Medium,Customer Experience Team,Within 7 Days,20,Identify customer pain points
varzea alegre,CE,High Risk,0.9166258,36.79,3.0,-4.0,Reactivation Campaign + Repeat Purchase Coupon,Customer has only one order,High,Marketing Team,Within 3 Days,80,Encourage second purchase
sorocaba,SP,High Risk,0.7844066,59.31,1.0,-7.0,Immediate Customer Support & Complaint Resolution,Very low review score,Critical,Customer Success Team,Within 24 Hours,50,Improve customer satisfaction
sao paulo,SP,Medium Risk,0.69040436,49.87,1.0,-7.0,Customer Satisfaction Survey,Average review score,Medium,Customer Experience Team,Within 7 Days,20,Identify customer pain points
rio de janeiro,RJ,Medium Risk,0.6744716,74.16,4.0,-5.0,Email Engagement Campaign,Moderate churn probability,Medium,Digital Marketing Team,Within 7 Days,10,Increase engagement
salvador,BA,Medium Risk,0.41107312,199.4,5.0,-15.0,Email Engagement Campaign,Moderate churn probability,Medium,Digital Marketing Team,Within 7 Days,10,Increase engagement
aluminio,SP,High Risk,0.78978854,216.83,3.0,-11.0,VIP Retention Offer + Exclusive Discount,High-value customer at churn risk,Critical,Retention Team,Within 48 Hours,300,Protect customer lifetime value
sorocaba,SP,Medium Risk,0.5866414,329.97,5.0,-22.0,Email Engagement Campaign,Moderate churn probability,Medium,Digital Marketing Team,Within 7 Days,10,Increase engagement
sao paulo,SP,Medium Risk,0.69274586,49.29,5.0,-7.0,Email Engagement Campaign,Moderate churn probability,Medium,Digital Marketing Team,Within 7 Days,10,Increase engagement
mogi das cruzes,SP,High Risk,0.82264805,51.33,5.0,-19.0,Reactivation Campaign + Repeat Purchase Coupon,Customer has only one order,High,Marketing Team,Within 3 Days,80,Encourage second purchase
rio de janeiro,RJ,High Risk,0.86249393,189.37,1.0,0.0,Immediate Customer Support & Complaint Resolution,Very low review score,Critical,Customer Success Team,Within 24 Hours,50,Improve customer satisfaction
marica,RJ,High Risk,0.72766113,63.1,5.0,-16.0,Reactivation Campaign + Repeat Purchase Coupon,Customer has only one order,High,Marketing Team,Within 3 Days,80,Encourage second purchase
sao paulo,SP,Medium Risk,0.5320388,89.65,3.0,-5.0,Customer Satisfaction Survey,Average review score,Medium,Customer Experience Team,Within 7 Days,20,Identify customer pain points
sao goncalo,RJ,Medium Risk,0.5150088,160.36,5.0,-9.0,Email Engagement Campaign,Moderate churn probability,Medium,Digital Marketing Team,Within 7 Days,10,Increase engagement
rio de janeiro,RJ,Medium Risk,0.40515637,319.99,1.0,-7.0,Customer Satisfaction Survey,Average review score,Medium,Customer Experience Team,Within 7 Days,20,Identify customer pain points
belo horizonte,MG,High Risk,0.78462166,74.01,5.0,-21.0,Reactivation Campaign + Repeat Purchase Coupon,Customer has only one order,High,Marketing Team,Within 3 Days,80,Encourage second purchase
brasilia,DF,High Risk,0.81139827,193.01,5.0,-13.0,VIP Retention Offer + Exclusive Discount,High-value customer at churn risk,Critical,Retention Team,Within 48 Hours,300,Protect customer lifetime value
sao paulo,SP,Medium Risk,0.61705595,54.27,5.0,-12.0,Email Engagement Campaign,Moderate churn probability,Medium,Digital Marketing Team,Within 7 Days,10,Increase engagement
sao paulo,SP,High Risk,0.75309217,49.42,4.0,-32.0,Reactivation Campaign + Repeat Purchase Coupon,Customer has only one order,High,Marketing Team,Within 3 Days,80,Encourage second purchase
taubate,SP,Medium Risk,0.6984129,46.34,5.0,-19.0,Email Engagement Campaign,Moderate churn probability,Medium,Digital Marketing Team,Within 7 Days,10,Increase engagement
guaratuba,PR,Medium Risk,0.66159713,179.32,4.0,-15.0,Email Engagement Campaign,Moderate churn probability,Medium,Digital Marketing Team,Within 7 Days,10,Increase engagement
sao paulo,SP,Medium Risk,0.64469624,114.45,5.0,-9.0,Email Engagement Campaign,Moderate churn probability,Medium,Digital Marketing Team,Within 7 Days,10,Increase engagement
rio de janeiro,RJ,High Risk,0.9174554,64.0,4.0,-8.0,Reactivation Campaign + Repeat Purchase Coupon,Customer has only one order,High,Marketing Team,Within 3 Days,80,Encourage second purchase
santa lucia,SP,High Risk,0.74382734,157.79,5.0,-17.0,VIP Retention Offer + Exclusive Discount,High-value customer at churn risk,Critical,Retention Team,Within 48 Hours,300,Protect customer lifetime value
caceres,MT,High Risk,0.9157955,47.79,5.0,-16.0,Reactivation Campaign + Repeat Purchase Coupon,Customer has only one order,High,Marketing Team,Within 3 Days,80,Encourage second purchase
